Freq [GHz],"re(St(M4_p_T1,M4_p_T1)) []","im(St(M4_p_T1,M4_p_T1)) []","re(St(M4_p_T1,M4_n_T1)) []","im(St(M4_p_T1,M4_n_T1)) []","re(St(M4_p_T1,M3_p_T1)) []","im(St(M4_p_T1,M3_p_T1)) []","re(St(M4_p_T1,M3_n_T1)) []","im(St(M4_p_T1,M3_n_T1)) []","re(St(M4_n_T1,M4_p_T1)) []","im(St(M4_n_T1,M4_p_T1)) []","re(St(M4_n_T1,M4_n_T1)) []","im(St(M4_n_T1,M4_n_T1)) []","re(St(M4_n_T1,M3_p_T1)) []","im(St(M4_n_T1,M3_p_T1)) []","re(St(M4_n_T1,M3_n_T1)) []","im(St(M4_n_T1,M3_n_T1)) []","re(St(M3_p_T1,M4_p_T1)) []","im(St(M3_p_T1,M4_p_T1)) []","re(St(M3_p_T1,M4_n_T1)) []","im(St(M3_p_T1,M4_n_T1)) []","re(St(M3_p_T1,M3_p_T1)) []","im(St(M3_p_T1,M3_p_T1)) []","re(St(M3_p_T1,M3_n_T1)) []","im(St(M3_p_T1,M3_n_T1)) []","re(St(M3_n_T1,M4_p_T1)) []","im(St(M3_n_T1,M4_p_T1)) []","re(St(M3_n_T1,M4_n_T1)) []","im(St(M3_n_T1,M4_n_T1)) []","re(St(M3_n_T1,M3_p_T1)) []","im(St(M3_n_T1,M3_p_T1)) []","re(St(M3_n_T1,M3_n_T1)) []","im(St(M3_n_T1,M3_n_T1)) []"
0,0.001977484099698,0,0.998022476819783,0,1.06352459161058E-05,0,-1.06374158853402E-05,0,0.998022476819794,0,0.001977484109622,0,-1.06374580018238E-05,0,1.06352044479261E-05,0,1.06352459160464E-05,0,-1.06374580017277E-05,0,0.004989228711338,0,0.995010737356672,0,-1.06374158853062E-05,0,1.06352044479952E-05,0,0.995010737356665,0,0.004989228771372,0
1,0.002757183268887,4.99020772724523E-05,0.9972129400497,-0.010134436357007,-0.000189015842585,0.002517068614319,0.000281858893334,0.005321572656573,0.997212940049698,-0.010134436357007,0.00276839664409,4.63209293814956E-05,0.000281888220456,0.005321315216822,-0.000188804928102,0.002517285980177,-0.000189015842585,0.002517068614318,0.000281888220456,0.005321315216821,0.005639105050234,-0.000910599337649,0.994229497540964,-0.011184363323594,0.000281858893334,0.005321572656573,-0.000188804928102,0.002517285980178,0.994229497540964,-0.011184363323594,0.005638928077071,-0.000911674268813
2,0.0030997785113,-0.000680022582839,0.996594186769868,-0.019734743835521,-0.000100898661619,0.005091648468958,0.000450623851915,0.010599605901773,0.996594186769868,-0.01973474383552,0.003099039901949,-0.000680946382618,0.000450701986774,0.010599308676402,-9.95049313591583E-05,0.005091645411167,-0.000100898661619,0.005091648468958,0.000450701986773,0.010599308676402,0.005976015935384,-0.002330529994263,0.993610827896199,-0.021942466518863,0.000450623851915,0.010599605901773,-9.95049313591859E-05,0.005091645411167,0.993610827896199,-0.021942466518863,0.005974644472673,-0.002330916385429
3,0.003297791481784,-0.001444646180114,0.99595007537209,-0.029184278036957,4.48368156173329E-05,0.007650296656969,0.000745958597545,0.015886043081487,0.995950075372091,-0.029184278036957,0.003294266761645,-0.001443150582089,0.000746131381104,0.015885590095183,4.7649781092303E-05,0.007649434049773,4.48368156173242E-05,0.007650296656969,0.000746131381104,0.015885590095183,0.006161541560858,-0.003883767354992,0.992887589504304,-0.032536979773598,0.000745958597545,0.015886043081487,4.76497810923006E-05,0.007649434049773,0.992887589504304,-0.032536979773598,0.00615910601205,-0.003883419451563
4,0.003404392513747,-0.002250580596285,0.995258233523496,-0.038579211069737,0.000246796317285,0.010210723737767,0.001160356298849,0.021163169154728,0.995258233523495,-0.038579211069737,0.003398956613751,-0.002247499382261,0.001160621951655,0.02116257452961,0.000251029729973,0.010208497259453,0.000246796317285,0.010210723737767,0.001160621951655,0.02116257452961,0.006229502018928,-0.005503693279465,0.992078639200124,-0.043046459472021,0.001160356298849,0.021163169154728,0.000251029729973,0.010208497259453,0.992078639200124,-0.043046459472021,0.006225976457236,-0.005502129368708
5,0.003430185777477,-0.003080150535181,0.994483673444562,-0.047949699313423,0.000510389533936,0.012776435833904,0.001689245787257,0.02642808689263,0.994483673444561,-0.047949699313423,0.003422741766943,-0.003075359244651,0.001689641927987,0.026427382466376,0.000515898892419,0.01277248146665,0.000510389533936,0.012776435833904,0.001689641927987,0.026427382466376,0.006190354986343,-0.007163304131797,0.991167970814277,-0.053509444681409,0.001689245787257,0.02642808689263,0.000515898892419,0.01277248146665,0.991167970814278,-0.053509444681409,0.006186006267247,-0.007160130381529
6,0.003387337362057,-0.003920722266032,0.993607527428851,-0.057301768511463,0.000839458277249,0.015346046913982,0.002330092839884,0.03168016533838,0.99360752742885,-0.057301768511463,0.003377860133657,-0.003913935566138,0.00233067848493,0.031679372474421,0.000846044565648,0.015340156184311,0.000839458277249,0.015346046913982,0.00233067848493,0.031679372474421,0.006052195802082,-0.008843981674581,0.990142441967957,-0.063941028397687,0.002330092839884,0.03168016533838,0.000846044565648,0.015340156184311,0.990142441967957,-0.063941028397687,0.006047369387371,-0.008839009842488
7,0.00328576946739,-0.004767302249112,0.99262055255183,-0.066636166500019,0.001235795646568,0.017917178834452,0.003081573511039,0.036919345493383,0.99262055255183,-0.066636166500019,0.003274283133471,-0.004758331588274,0.003082416191999,0.036918471212966,0.001243276225115,0.017909264260591,0.001235795646568,0.017917178834452,0.003082416191999,0.036918471212966,0.005823319832143,-0.010534364717457,0.988993488388962,-0.074348213153697,0.003081573511039,0.036919345493383,0.001243276225115,0.017909264260591,0.988993488388961,-0.074348213153697,0.00581833326382,-0.010527552477455
8,0.003131679762258,-0.00561915027169,0.991517633459424,-0.07595258729367,0.001700080956077,0.02048775366527,0.003943191268741,0.042145601676324,0.991517633459423,-0.07595258729367,0.0031181710031,-0.005607919351011,0.00394436005391,0.04214464043866,0.001708317293315,0.02047780210652,0.001700080956077,0.02048775366527,0.00394436005391,0.04214464043866,0.005510618746796,-0.012228457035833,0.987714890500905,-0.084734596946053,0.003943191268741,0.042145601676324,0.001708317293315,0.02047780210652,0.987714890500905,-0.084734596946053,0.005505735261397,-0.012219847210704
9,0.002927993367549,-0.00647732813829,0.990295412447259,-0.085250313869401,0.002232588631544,0.023056182510331,0.004914998778854,0.047358718353777,0.99029541244726,-0.085250313869401,0.002912367337991,-0.00646383565914,0.00491656095578,0.047357654893959,0.002241488393123,0.023044220595291,0.002232588631544,0.023056182510331,0.00491656095578,0.047357654893959,0.005118890531928,-0.01392345491134,0.98630168375825,-0.095101759224242,0.004914998778854,0.047358718353777,0.002241488393123,0.023044220595291,0.98630168375825,-0.095101759224242,0.005114320960386,-0.013913138178795
