frequency,s11_real,s11_imag,s12_real,s12_imag,s13_real,s13_imag,s14_real,s14_imag,s21_real,s21_imag,s22_real,s22_imag,s23_real,s23_imag,s24_real,s24_imag,s31_real,s31_imag,s32_real,s32_imag,s33_real,s33_imag,s34_real,s34_imag,s41_real,s41_imag,s42_real,s42_imag,s43_real,s43_imag,s44_real,s44_imag
0,-0.9791948508557351,7.86810899318963e-17,0.011907728140835976,3.862975507824961e-17,-0.004887332738666742,7.113081853344862e-19,-0.004897200261417519,7.124170365186269e-19,0.011907728140789704,3.8629755078248715e-17,-0.9792195958025801,7.868310442727789e-17,-0.0049276584321940545,7.148508068921451e-19,-0.0049226615843934885,7.141392854097903e-19,-0.0048873327386684045,7.113081853349159e-19,-0.004927658432201466,7.148508068930906e-19,-0.9633169118867835,7.651844307642248e-17,0.015128600678436062,3.7375727219173174e-17,-0.004897200261420081,7.124170365191805e-19,-0.0049226615843980335,7.14139285410398e-19,0.01512860067831864,3.737572721917662e-17,-0.9633323499686154,7.651967807797937e-17
1,-0.974109641278762,0.028254713596555674,0.01433162642397501,0.015919493189025625,-0.007902735733578057,-0.015876464970506748,-0.0069784230924457395,-0.013633057996150303,0.01433162642409302,0.015919493189005197,-0.9741265204385539,0.028271848541214402,-0.006999465644066782,-0.01362368210450114,-0.00792416618557914,-0.0158813771969917,-0.007902735734512648,-0.01587646496769519,-0.006999465644996744,-0.013623682101689289,-0.957656393927821,0.029529839519679864,0.017428324578152177,0.015629238868431764,-0.006978423093377471,-0.013633057993336185,-0.007924166186507313,-0.015881377194176444,0.017428324578226646,0.015629238868417446,-0.9576871087099587,0.029546186071084706
2,-0.9682950001203836,0.05240005483711638,0.01792083502244896,0.029685308992045134,-0.011538875743708462,-0.029094402934232703,-0.010182005531379415,-0.025168143852669828,0.017920835022450083,0.02968530899199437,-0.9683004387056537,0.05242161714173761,-0.010200855080759248,-0.025155970188022035,-0.011572947816352368,-0.02910323142953984,-0.011538875743042437,-0.02909440293400825,-0.010200855080091662,-0.025155970187798755,-0.9514813477411437,0.05441892110629015,0.020637464701147606,0.02916122747570806,-0.010182005530711784,-0.025168143852446735,-0.011572947815682624,-0.02910323142931741,0.020637464701147926,0.02916122747567648,-0.9514828884816825,0.054442694573734726
3,-0.9618978320723296,0.07439689309193512,0.0221814706038585,0.04226874315773755,-0.01562524052208638,-0.041319500912099454,-0.013869461993393917,-0.03582577544393695,0.02218147060386418,0.042268743157743045,-0.961894758111344,0.07441587391499833,-0.013887004321485957,-0.03581008215750352,-0.015666243908913115,-0.04132125022371825,-0.015625240522148153,-0.041319500912051124,-0.013887004321545693,-0.0358100821574551,-0.944774548723825,0.07713169013522625,0.024398606404728407,0.04183611392285965,-0.01386946199345611,-0.03582577544388821,-0.015666243908973226,-0.041321250223669705,0.024398606404731564,0.04183611392286285,-0.9447674869028846,0.07714195403322911
4,-0.9553355789264087,0.09509812923893465,0.026891147182480857,0.0540580277860187,-0.020176775221543947,-0.05288585549225844,-0.01805900233538357,-0.045892114289104474,0.026891147182506694,0.05405802778601939,-0.955331222019604,0.09511222949770748,-0.01807540411866579,-0.045872941432777606,-0.020218324582823136,-0.052880053782895585,-0.020176775221576543,-0.05288585549207967,-0.018075404118695584,-0.0458729414325999,-0.9378895126027064,0.09853776129727386,0.028702024697046916,0.05396554792688646,-0.01805900233541531,-0.0458921142889243,-0.02021832458285252,-0.052880053782716534,0.02870202469706342,0.053965547926885286,-0.9378836898873983,0.09854038805700349
5,-0.9485300666604474,0.11499610396736606,0.03205693726409667,0.065279352111476,-0.02522643351625321,-0.06394264715365794,-0.022765318480490942,-0.05548212540196186,0.03205693726410682,0.06527935211146965,-0.9485290912284959,0.11500882634943228,-0.02278082184610027,-0.055459590029416514,-0.025265552395690703,-0.06393194703054388,-0.025226433516224105,-0.06394264715359008,-0.022780821846070085,-0.05545959002934957,-0.9307205595544903,0.11912683967022789,0.03360978211639767,0.06565756691999934,-0.022765318480460924,-0.055482125401893324,-0.025265552395659894,-0.06393194703047649,0.03360978211640412,0.06565756691999455,-0.9307165958487637,0.11912542981322852
6,-0.941361790095547,0.13428056828188045,0.037714938749716875,0.07601562241523727,-0.03080563650991535,-0.0745468325383925,-0.028004884869780186,-0.06464081194186558,0.037714938749710866,0.0760156224152496,-0.9413643600745031,0.13429612263842472,-0.028019761112400145,-0.06461491103308523,-0.03084197994232407,-0.07453397231875394,-0.030805636509972645,-0.0745468325384386,-0.028019761112456874,-0.06461491103313034,-0.9231388185000658,0.13907897196000477,0.039150223976668216,0.07692156829926718,-0.02800488486983871,-0.06464081194191176,-0.03084197994238217,-0.07453397231879946,0.03915022397666529,0.0769215682992753,-0.9231369324553155,0.1390742128798435
7,-0.933760851419573,0.15301979855574266,0.04388214284140169,0.08628944761516341,-0.03693074970864701,-0.08470934194159069,-0.03378633583928554,-0.0733748092413149,0.04388214284139707,0.08628944761521004,-0.9337647321976013,0.15304036397504117,-0.03380081130643316,-0.07334540854834541,-0.03696538562309339,-0.08469609781828663,-0.036930749708844884,-0.08470934194164126,-0.03380081130662893,-0.07334540854839305,-0.9150746496128441,0.15845427369379628,0.04532102092311226,0.08774092085682347,-0.033786335839487786,-0.07337480924136434,-0.036965385623293934,-0.08469609781833325,0.045321020923113554,0.08774092085685202,-0.9150758851725318,0.1584466197180851
8,-0.9256940404247235,0.1712383727275,0.05055965498048504,0.09610050687838595,-0.04360327004843524,-0.09441978518055438,-0.040107472584508974,-0.08167111447089406,0.05055965498050387,0.09610050687846297,-0.9256967545957311,0.17126392563420767,-0.04012168058146784,-0.08163798021535268,-0.04363772580318411,-0.09440682235480716,-0.04360327004873647,-0.09441978518051673,-0.040121680581763644,-0.08163798021531077,-0.9064988927497288,0.17727255739804137,0.052105627235919924,0.0980937295792558,-0.04010747258481724,-0.0816711144708515,-0.04363772580348744,-0.09440682235476075,0.052105627235939006,0.09809372957930006,-0.9065043401726613,0.17726306180814275
9,-0.9171481071645129,0.1889425754062634,0.05773915562270398,0.10543837043364189,-0.050813358538245194,-0.1036584435928255,-0.04695636151363665,-0.08950764915961759,0.057739155622762425,0.10543837043373193,-0.9171480521133557,0.1889717240681798,-0.04697031815065203,-0.08947049781738425,-0.050849030464023066,-0.10364554416729384,-0.050813358538577665,-0.10365844359265933,-0.04697031815097558,-0.08947049781721517,-0.8974030686094888,0.19553813599648007,0.05948142570719559,0.10795677769666841,-0.04695636151397717,-0.08950764915944122,-0.05084903046435528,-0.10364554416711483,0.05948142570724078,0.1079567776967159,-0.8974133110474778,0.19552824886187625
